Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Puerto Rico (US),PRI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,112158144249.731,113987397204.442,115714247445.49,115768684481.803,114208485372.986,115118738812.708,117072536776.923,117437602455.976,117220284809.445,116122525954.824,114269131890.728,112229482734.795,108691860431.227,110917943635.114,119615939334.496,120954841139.023,132333844622.722,145960792688.495,151966227244.953,160662993787.144
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,44530494505.4945,60882142857.1429,79712087912.0879,115270054945.055,97798351648.3516,125122306346.154,167775268626.374,186833502362.637,198727642967.033,206224598571.429,161739955576.923,151732181868.132,161099122225.275,183334953818.681,176371267692.308,144411363351.648,179732009560.44,235709325714.286,213002809340.659,217982967032.967
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,53949.6764091147,62582.4453138755,65954.3419525051,80781.4039187792,60785.7351551657,77387.3267885308,103261.506539346,108470.378825036,103697.008372373,95840.6310094498,68985.2946961507,61253.6375482797,63279.8556949332,71039.8490579352,66841.3013484919,51683.5054376677,71751.8831257169,88701.463352273,80195.8746508549,76275.9076782833
Qatar,QAT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,95128524484.739,123725233949.107,149932952085.01,179815476311.974,202556897128.38,245186456996.118,283715621799.724,311656942652.869,324265528776.434,319295523267.788,240424800591.957,222778394716.76,252948449980.88,283965164161.23,283662144439.194,229537462611.12,292655073655.389,326640697729.822,342411792316.801,360400243355.573
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,98454380120.0761,122023735992.706,174588782938.583,214315932061.275,174110532658.867,170064350671.827,192623977894.173,179117323107.087,189798603751.235,199722319675.741,177885131240.315,185290759248.844,210147385855.419,243468683030.34,251677082534.495,252033792712.145,286578196368.297,296354358293.475,350775856415.189,382767571329.158
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,4618.00350802913,5757.53127301178,8360.33775916596,10435.1561230787,8548.4543409242,8399.5374234284,9560.6755277458,8929.95366231474,9497.67411615237,10031.7710755404,8977.01748158196,9404.54005870715,10727.9822007426,12502.2624061935,12992.0326104674,13082.3006559554,14986.7854904274,15557.8826247584,18404.2730871704,20072.4079244042
Romania,ROU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,204714602990.454,244927155069.454,286163460636.105,344669013802.194,338754727660.486,351418032858.337,378852429060.781,397298685084.564,393241674839.457,410782149153.117,428618003572.133,470976157183.804,527779211230.481,576157161634.811,651626633701.773,662450441783.245,721482377389.383,804125351673.552,872344937917.812,928908990262.028
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,764015973481.11,989932071352.543,1299703478481.65,1660848058303.11,1222645900055.7,1524916715223.95,2045922753398.04,2208293553878.42,2292470078346.22,2059241589895.01,1363482182197.71,1276786350881.14,1574199360089,1657328773461.31,1693115002708.32,1493075894362.14,1829186719575.1,2291612121334.64,2071505725030.58,2173835806671.66
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,5323.455078125,6920.19970703125,9101.2392578125,11635.2841796875,8562.82421875,10674.990234375,14305.33203125,15401.8515625,15941.4482421875,14055.47265625,9277.7138671875,8663.158203125,10658.9130859375,11211.8876953125,11447.701171875,10108.3271484375,12425.029296875,15619.6142578125,14159.3876953125,14889.0185546875
Russian Federation,RUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1696729209914.69,2133189651004.95,2377454045310.01,2878201315078.6,2768599517953.77,2927003701123.47,3259319197327.18,3480299219245.86,3741783381914.27,3763534951277.15,3526235948513.73,3538975998887.58,3807101264909.25,4231842328030.95,4579553861372.4,4651428694918.23,5688268314339.54,6006312352159.35,6476475754986.43,6921249292202.15
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,2933819766.17656,3319784538.73346,4070507894.61656,5179854064.57033,5674476969.06444,6124756654.12346,6884913658.10632,7654761044.99335,7819964024.13272,8238966119.55292,8543760205.73641,8695272060.67925,9252833894.1905,9637904518.99702,10349300276.7623,10174386854.812,11078787095.1791,13316161005.7244,14331722700.3249,14251642231.4932
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,324.016863847189,356.995022901154,426.234183487629,528.326391755502,564.039095842449,593.624927744346,651.133677964662,706.8172686891,704.92421796616,724.957526109262,733.998630392314,729.519134044611,758.300966737624,771.773511057901,810.051412137354,778.701498787411,829.544845639777,975.469323979541,1027.03446804432,999.654561402699
Rwanda,RWA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,8277897287.50844,9320536566.8454,10303793752.125,11674507626.4737,12480466164.1991,13558663650.0134,14939706886.5951,15752362606.6545,16775811479.3717,19065160590.414,20727872754.8486,22245840208.4371,24012956927.8089,26543175894.3984,29845483474.6833,29854116562.1372,36505744034.3984,42300132773.9933,47437550805.895,52904129982.2052
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,476801793.159429,499923757.780736,573548459.833372,641346191.664776,628006115.424052,680260907.153983,744097050.169115,773141661.165548,797736334.281305,796683519.593842,824150498.653536,843924796.697421,884844384.463214,878448433.404342,912950466.064906,868898358.266437,843923638.733018,832945205.637185,938189443.830393,1068025243.63929
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,2550.04221437511,2663.29135939532,3038.61904093377,3373.60639884263,3279.18269477295,3524.2479246203,3821.50678264479,3934.60320799981,4023.5254013825,3982.68080202084,4084.36083819933,4147.07097674888,4307.59381964907,4231.81409469194,4351.94234943706,4099.6600907147,3947.64517905415,3869.46639492144,4330.17840531329,4898.77140817676
Samoa,WSM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,818700829.627442,861942275.802254,889596896.935385,938981358.014974,939655191.208968,1009325356.97828,1069800076.01937,1049051691.88995,1068050014.27125,1093822436.78677,1146480554.16123,1249779114.75418,1290050365.20512,1311559076.0053,1392558354.39364,1367201018.48976,1328426324.85394,1347620477.33121,1524676297.75854,1708678659.25856
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1786514058.22344,1909765165.43137,2188654628.38097,2403213305.03601,2064277126.41466,1881191925.32503,1813717438.69134,1604701299.43546,1678741475.14095,1673911426.17254,1419401070.56043,1468343139.74326,1528620346.31168,1655353653.05934,1616232125.12587,1544714493.24409,1855395999.76534,1831700577.08904,..,..
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,59877.8005839737,63270.7780755157,70124.4634385624,75902.1320521765,62428.9943269418,56543.1898204098,55601.3929703047,47945.8991734281,50807.8289138024,51260.4938347125,43146.8240435428,44359.4797662688,45192.0279766943,47950.6880557136,46627.0122356944,44426.6463400658,54168.9828262684,54264.570495898,..,..
San Marino,SMR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1901704090.05078,2035432564.89852,2239203606.92984,2270913390.01327,2049094350.39843,1960472690.11422,1834547471.48532,1716096717.85314,1677503706.60645,1727750657.70467,1718776395.90592,1755447197.83168,1774575169.31538,1880099391.17672,1991185509.31366,1919532829.45196,2217650250.23726,2563404991.87884,..,..
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,136450662.390592,142775104.081626,149146918.888611,188021165.00338,200668065.03175,190021192.489536,226455001.243083,229371348.202606,267041747.584354,293119143.246825,259999643.047388,292267272.196925,322002845.229335,383717327.830508,412976082.620705,471229484.607144,524402455.54816,540809499.189348,678976264.835436,764274042.735043
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,844.169181884274,861.970707697664,878.885791918745,1081.8684584729,1128.28046213305,1045.20958234528,1219.80189089671,1210.79264672325,1382.5757842916,1489.67633417608,1298.10946596396,1434.87018050521,1555.79477812888,1825.59971753966,1935.2931816596,2167.22001796925,2362.58827248102,2389.73729784737,2940.93352926715,3244.82899741459
